epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7829,1.43517,2.97667,1.28897,0.00368,0.98958,0.31081,0.15504,1.36025,3.75411,1.15711,0.00042,0.00042,0.00042
2,191.894,1.47706,1.95194,1.20779,0.41597,0.42708,0.36623,0.14988,1.68081,3.6936,1.36064,0.000842972,0.000842972,0.000842972
3,310.663,1.52304,1.88627,1.25079,0.20122,0.27083,0.13737,0.0685,1.799,3.69034,1.44855,0.00124852,0.00124852,0.00124852
4,506.295,1.48412,1.83154,1.2495,0.24699,0.13542,0.10004,0.05363,1.83796,3.75106,1.46601,0.00163664,0.00163664,0.00163664
5,670.065,1.49424,1.64356,1.29175,0.37689,0.34375,0.25341,0.11906,1.94519,3.3213,1.60084,0.0018416,0.0018416,0.0018416
6,782.16,1.43233,1.49945,1.24841,0.82319,0.61458,0.72503,0.33049,1.77447,2.03038,1.49447,0.001802,0.001802,0.001802
7,912.22,1.49413,1.42696,1.27979,0.8332,0.65625,0.74076,0.33921,1.8082,1.92501,1.51321,0.0017624,0.0017624,0.0017624
8,1005.03,1.47866,1.40057,1.30876,0.40639,0.3125,0.27354,0.13059,1.76726,2.98722,1.44747,0.0017228,0.0017228,0.0017228
9,1120.96,1.52822,1.29386,1.26645,0.7665,0.61552,0.65861,0.35362,1.76967,1.97413,1.47682,0.0016832,0.0016832,0.0016832
10,1228.25,1.44849,1.19713,1.24775,0.81483,0.64178,0.74031,0.40258,1.60467,1.64199,1.38611,0.0016436,0.0016436,0.0016436
11,1327.96,1.38274,1.12141,1.20549,0.70564,0.69918,0.73989,0.38371,1.65344,1.39588,1.39312,0.001604,0.001604,0.001604
12,1428.64,1.37545,1.04909,1.20769,0.85852,0.6875,0.77745,0.40516,1.71311,1.44057,1.46185,0.0015644,0.0015644,0.0015644
13,1537.24,1.36591,1.06839,1.18273,0.76971,0.6875,0.73757,0.38474,1.70004,1.41555,1.51244,0.0015248,0.0015248,0.0015248
14,1638.74,1.3744,0.99075,1.19459,0.90983,0.71875,0.81735,0.42869,1.69867,1.24297,1.471,0.0014852,0.0014852,0.0014852
15,1739.03,1.35051,1.00031,1.19951,0.87959,0.77083,0.81857,0.38969,1.70907,1.27186,1.40589,0.0014456,0.0014456,0.0014456
16,1842.06,1.37267,0.97899,1.20364,0.82267,0.78125,0.84011,0.43895,1.68939,1.25596,1.35078,0.001406,0.001406,0.001406
17,1975.59,1.3184,0.92635,1.17894,0.83266,0.77753,0.84532,0.4445,1.65743,1.17276,1.40324,0.0013664,0.0013664,0.0013664
18,2102.09,1.35179,0.92039,1.18746,0.86342,0.79023,0.85588,0.46825,1.62692,1.16973,1.36726,0.0013268,0.0013268,0.0013268
19,2228.39,1.3173,0.86395,1.18583,0.78837,0.80208,0.83514,0.45963,1.56455,1.16162,1.33938,0.0012872,0.0012872,0.0012872
20,2344.58,1.28699,0.87108,1.17285,0.89268,0.82292,0.88091,0.47663,1.56919,1.0726,1.36566,0.0012476,0.0012476,0.0012476
21,2465.59,1.29593,0.85691,1.15113,0.83238,0.77083,0.83872,0.46135,1.60146,1.06192,1.35773,0.001208,0.001208,0.001208
22,2589.15,1.24983,0.854,1.14138,0.88344,0.86458,0.87552,0.46766,1.59769,1.03752,1.35694,0.0011684,0.0011684,0.0011684
23,2711.86,1.29409,0.91302,1.14787,0.89465,0.79617,0.86827,0.48182,1.54768,1.05286,1.30659,0.0011288,0.0011288,0.0011288
24,2829.49,1.2355,0.85465,1.11088,0.87146,0.79167,0.84293,0.48466,1.56603,1.05601,1.35388,0.0010892,0.0010892,0.0010892
25,2948.95,1.27164,0.84954,1.15937,0.91118,0.8125,0.89248,0.49625,1.60553,0.94069,1.34743,0.0010496,0.0010496,0.0010496
26,3069.02,1.2232,0.76715,1.12787,0.90918,0.83425,0.88996,0.47318,1.62498,1.00133,1.33589,0.00101,0.00101,0.00101
27,3192.19,1.18277,0.76431,1.13439,0.89076,0.82292,0.88444,0.48023,1.60328,0.9596,1.37365,0.0009704,0.0009704,0.0009704
28,3309.78,1.16071,0.78962,1.12529,0.96233,0.79826,0.90855,0.51276,1.54736,0.96343,1.34193,0.0009308,0.0009308,0.0009308
29,3432.88,1.2112,0.73939,1.14206,0.85386,0.86458,0.89068,0.4847,1.59536,1.02854,1.36144,0.0008912,0.0008912,0.0008912
30,3571.9,1.17192,0.74546,1.11258,0.95381,0.78125,0.88357,0.49061,1.55557,0.99259,1.32864,0.0008516,0.0008516,0.0008516
31,3718.41,1.19174,0.74853,1.10457,0.92043,0.84341,0.89569,0.49263,1.58042,0.9268,1.40977,0.000812,0.000812,0.000812
32,3864.29,1.1912,0.70744,1.09367,0.92646,0.7874,0.88244,0.44249,1.63049,0.9663,1.44704,0.0007724,0.0007724,0.0007724
33,4014.52,1.13231,0.68617,1.09604,0.90139,0.76176,0.86425,0.4608,1.57793,0.98391,1.32714,0.0007328,0.0007328,0.0007328
34,4159.69,1.14019,0.70555,1.09206,0.82152,0.85417,0.87038,0.44485,1.62747,0.91248,1.35066,0.0006932,0.0006932,0.0006932
35,4298.83,1.08783,0.65914,1.06744,0.88246,0.83333,0.88805,0.50216,1.54247,0.85544,1.36288,0.0006536,0.0006536,0.0006536
36,4442.19,1.12055,0.68158,1.08058,0.89104,0.84375,0.88196,0.4738,1.5748,0.90525,1.34137,0.000614,0.000614,0.000614
37,4557.44,1.11207,0.66505,1.08875,0.9536,0.86458,0.9039,0.49422,1.54353,0.90139,1.38969,0.0005744,0.0005744,0.0005744
38,4741.81,1.09163,0.64854,1.05683,0.94336,0.86751,0.91987,0.48684,1.57072,0.87023,1.35664,0.0005348,0.0005348,0.0005348
39,4906.91,1.08907,0.63836,1.06742,0.93392,0.88341,0.91884,0.49845,1.57528,0.83875,1.35827,0.0004952,0.0004952,0.0004952
40,4989.24,1.08138,0.63193,1.07842,0.94037,0.85417,0.90441,0.46362,1.6437,0.889,1.37093,0.0004556,0.0004556,0.0004556
41,5112.92,1.09743,0.6528,1.0837,0.94219,0.84894,0.89801,0.45794,1.66011,0.91002,1.36329,0.000416,0.000416,0.000416
42,5312,1.06352,0.60165,1.06534,0.94234,0.875,0.92123,0.48419,1.58232,0.86505,1.34824,0.0003764,0.0003764,0.0003764
43,5528.97,1.05061,0.58854,1.04328,0.9182,0.875,0.91051,0.48633,1.57701,0.85369,1.33154,0.0003368,0.0003368,0.0003368
44,5744.49,1.04582,0.57674,1.03726,0.90282,0.87094,0.91033,0.48295,1.56248,0.844,1.32879,0.0002972,0.0002972,0.0002972
45,5879.97,0.99843,0.5709,1.02258,0.94352,0.87004,0.91532,0.49116,1.57053,0.85582,1.34262,0.0002576,0.0002576,0.0002576
46,6017.92,0.99755,0.54522,1.03353,0.95764,0.86458,0.91067,0.48411,1.60081,0.88777,1.36855,0.000218,0.000218,0.000218
47,6213.33,0.97536,0.54463,1.01802,0.94281,0.85863,0.89746,0.48817,1.57094,0.87148,1.35005,0.0001784,0.0001784,0.0001784
48,6412.37,0.97563,0.5447,1.0462,0.90761,0.83333,0.88503,0.48842,1.57196,0.86256,1.33528,0.0001388,0.0001388,0.0001388
49,6597.37,0.98717,0.53433,1.02207,0.91968,0.83333,0.89212,0.47974,1.57769,0.85249,1.32643,9.92e-05,9.92e-05,9.92e-05
50,6711.71,0.95691,0.54017,1.02568,0.95292,0.84327,0.89734,0.49608,1.54011,0.84615,1.31569,5.96e-05,5.96e-05,5.96e-05
